Taman Negara	Geography of Malaysia, National parks in Asia
Oliver Friggieri	1947 births, 2020 deaths, Maltese writers, Philosophers, Poets, Novelists
AstraZeneca	Companies of the United Kingdom, Companies of Sweden, Cambridge
Confessions of a Shopaholic (movie)	2009 romance movies, 2009 comedy movies, 2000s romantic comedy movies, Movies based on books, American romantic comedy movies
Sophie Kinsella	Living people, Writers from London, English novelists
Hugh Dancy	1975 births, Living people, English movie actors, English television actors, English stage actors, English voice actors, People from Staffordshire
The Informer (movie)	1935 movies, 1930s crime movies, 1930s drama movies, American crime drama movies, Movies based on books, Movies directed by John Ford
The Dark Corner	1946 movies, 1940s crime movies, 1940s thriller movies, American crime thriller movies, 20th Century Fox movies, Movies directed by Henry Hathaway
Cloudy with a Chance of Meatballs 2	2013 animated movies, 2013 comedy movies, 2013 science fiction movies, 2013 3D movies, American comedy movies, American science fiction movies, American animated movies, Computer-animated movies, Movies set in California
Hallowell's tree frog	Animals of Asia, Frogs
Alvin Holmes	1939 births, 2020 deaths, State legislators of the United States, Politicians from Alabama, People from Montgomery, Alabama, US Democratic Party politicians
Jožef Smej	1922 births, 2020 deaths, Roman Catholic bishops, Slovenian people
Jens Sørensen (cyclist)	1941 births, 2020 deaths, Danish sportspeople, Olympians, People from Copenhagen
List of heads of state of Mauritania	Presidents of Mauritania
Without Reservations	1946 movies, 1940s comedy movies, American comedy movies, Movies based on books, Movies directed by Mervyn LeRoy
Piccola Roma	Eritrea, History of Italy
Mohamed Khouna Ould Haidalla	1940 births, Living people, Presidents of Mauritania, Prime Ministers of Mauritania
List of prime ministers of Mauritania	Prime Ministers of Mauritania
Moktar Ould Daddah	1924 births, 2003 deaths, Presidents of Mauritania, Prime Ministers of Mauritania
Maaouya Ould Sid'Ahmed Taya	1941 births, Living people, Prime Ministers of Mauritania, Presidents of Mauritania
Mohamed Ould Bilal	1963 births, Living people, Prime Ministers of Mauritania
Mohamed Ould Ghazouani	1956 births, Living people, Generals, Presidents of Mauritania, Current national leaders
Mustafa Ould Salek	1936 births, 2012 deaths, Presidents of Mauritania
Ba Mamadou Mbaré	1946 births, 2013 deaths, Presidents of Mauritania
Sidi Ould Cheikh Abdallahi	1938 births, 2020 deaths, Presidents of Mauritania
Anwar Aziz Chaudhry	1931 births, 2020 deaths, Pakistani politicians, Swimmers
Doris de Agostini	1958 births, 2020 deaths, Swiss sportspeople, Skiers, Olympians
José Vicente Gimeno Sendra	1949 births, 2020 deaths, Spanish politicians, Spanish lawyers
Constitutional Court of Spain	Spain
Supreme Court of Spain	Spain
Elena Hrenova	1950 births, 2020 deaths, Deaths from the COVID-19 pandemic in Moldova, Moldovan politicians
Lupo (dog)	2020 deaths, Individual dogs, 2011 births
St Mary's Hospital, London	Hospitals in the United Kingdom, Buildings and structures in the City of Westminster, Paddington
Hamish MacInnes	1930 births, 2020 deaths, Scottish writers
Glen Coe	Volcanoes of Europe, Geography of Scotland
Mustafa Nadarević	1943 births, 2020 deaths, Deaths from lung cancer, Bosnia and Herzegovina entertainers, Croatian actors
Kevin Schon	1958 births, Living people, American voice actors, American comedians, American movie actors, American television actors, American video game actors, Comedians from California
M&M's World	Chocolate, Shops
Ray Prosser	1927 births, 2020 deaths, Welsh rugby union players
Karl Dall	1941 births, 2020 deaths, Deaths from stroke, German movie actors, German television actors, German stage actors, German voice actors, German singers, German television presenters, Actors from Lower Saxony
Ptosis (eyelid)	Neurology
Anele Ngcongca	1987 births, 2020 deaths, People from Cape Town, South African footballers, Road accident deaths
Józef Rysula	1939 births, 2020 deaths, Polish Olympians
Roselle, New Jersey	Boroughs in New Jersey
Nikola Spasov	1958 births, 2020 deaths, Bulgarian footballers, Deaths from the COVID-19 pandemic in Bulgaria
Montana, Bulgaria	Settlements in Bulgaria
Social Democratic Union of Macedonia	1990 establishments in Europe, Political parties in Europe, North Macedonia
Viktor Zimin (politician)	1962 births, 2020 deaths, Deaths from the COVID-19 pandemic in Russia, Russian politicians
Jean Morzadec	1953 births, 2020 deaths, French singers, French journalists, French songwriters
Abu Hena	2020 deaths, Bangladeshi politicians, Bangladeshi Muslims, Deaths from the COVID-19 pandemic in Bangladesh
Antonis Georgiadis	1933 births, 2020 deaths, Greek footballers, Greek football managers
Billy Evans (basketball, born 1932)	1932 births, 2020 deaths, American basketball players, Sportspeople from Kentucky, American Olympic gold medalists
Gonzalo Galván Castillo	1951 births, 2020 deaths, Roman Catholic bishops, Mexican people
Marco Ferrari	1932 births, 2020 deaths, Italian Roman Catholics, Roman Catholic bishops
Cassano Magnago	Settlements in Lombardy
Pokémon trainer	Pokémon
John Oldham	1923 births, 2020 deaths, Detroit Pistons players, Sportspeople from Kentucky
Geoffrey Horne	1933 births, Living people, American movie actors, American stage actors, American television actors, American educators, American theatre directors, Movie directors from New York City, Actors from New York City, People from Buenos Aires
Big Daddy (1999 movie)	1999 comedy movies, American comedy movies
Jonathan Lipnicki	1990 births, Living people, American child actors, American movie actors, American television actors, American voice actors, Actors from California, Movie producers from California
David Alan Grier	1956 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Detroit, Michigan, Comedians from Michigan, Tony Award winning actors
Chazz Palminteri	1952 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, American playwrights, Actors from New York City, Movie producers from New York City, Screenwriters from New York City
Josh Mostel	1946 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, Actors from New York City
Zero Mostel	1915 births, 1977 deaths, Deaths from aortic aneurysm, American movie actors, American television actors, American stage actors, American voice actors, Actors from New York City, Singers from New York City, Comedians from New York City
Fasih Bokhari	1942 births, 2020 deaths, Pakistani politicians, Pakistani military people
Kambuzia Partovi	1955 births, 2020 deaths, Deaths from the COVID-19 pandemic in Iran, Iranian screenwriters, Iranian movie directors
Pepper Potts	Fictional characters introduced in 1963, Marvel Comics superheroes, Marvel Comics movie characters, Characters created by Stan Lee
Nasha Niva	Newspapers in Belarus, Websites, Censorship in Belarus, Free Media Award winners
The Lights of New York	1922 movies, 1920s drama movies, American drama movies, American silent movies, Movies directed by Charles Brabin
The Big Sleep (1978 movie)	1978 movies, 1970s crime movies, 1970s mystery movies, British crime movies, British mystery movies, American crime movies, American mystery movies, Movies based on books, Movies directed by Michael Winner
Lord Randolph Churchill	British politicians
RRR (movie)	Upcoming movies, 2021 movies, Telugu-language movies, Period action movies, Movies directed by S. S. Rajamouli, Epic movies, Indian movies
Jan van Toorn	1932 births, 2020 deaths, Dutch artists, Dutch educators
Robert Hammerstiel	1933 births, 2020 deaths, Austrian painters, Austrian writers
Erik M. Galimov	1936 births, 2020 deaths, Geologists, Russian chemists, Russian educators
Mohammad Khadem	1935 births, 2020 deaths, Iranian sportspeople, Wrestlers, Olympians
Rob Delaney	1977 births, Living people, American movie actors, American television actors, American voice actors, American television writers, American television producers, American activists, Actors from Boston, Massachusetts, Screenwriters from Massachusetts, Writers from Boston, Massachusetts, Comedians from Massachusetts
Dan Bongino	1974 births, Living people, American political commentators, American radio personalities, American political writers, American autobiographers, American police officers, People with cancer, Politicians from New York City, Politicians from Florida, Writers from New York City, Writers from Florida, US Republican Party politicians, American conservatives
Tim Story	1970 births, Living people, Movie directors from Los Angeles, California, Movie producers from Los Angeles, California, Screenwriters from Los Angeles, California
Tituss Burgess	1979 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, LGBT actors, LGBT singers, Gay men, Actors from Georgia (U.S. state), Singers from Georgia (U.S. state), LGBT people from Georgia (U.S. state)
Montserrat Carulla	1930 births, 2020 deaths, Spanish movie actors, Spanish stage actors, Spanish television actors, People from Barcelona
Willy Kuijpers	1937 births, 2020 deaths, Former MEPs, MEPs for Belgium, Belgian mayors, Deaths from the COVID-19 pandemic in Belgium
Dukla Prague	1948 establishments in Europe, 1990s disestablishments in Europe, 1996 disestablishments, Czech football clubs, Prague
Canadian American	Ethnic groups in the United States
Singer 2017	Chinese music, 2017 in television
Iranian American	Ethnic groups in the United States
Singer 2019	Chinese music, 2019 in television
Østerbro	Copenhagen, Districts
HJK Helsinki	20th century establishments in Finland, 1907 establishments in Europe, Football clubs, Football in Finland, Helsinki
Asian Hispanic and Latino Americans	Ethnic groups in the United States
Curzon family	Baronets, English Barons, Royalty and nobility
Beambox	Companies based in Los Angeles
Black Hispanic and Latino Americans	Ethnic groups in the United States
White Hispanic and Latino Americans	Ethnic groups in the United States
