Hammered dulcimer	Early musical instruments
Hendersonville, North Carolina	Cities in North Carolina, County seats in North Carolina
Pakistani cockerel	Poultry, National symbols of Pakistan
Kings Mountain, North Carolina	Cities in North Carolina
Kinston, North Carolina	Cities in North Carolina, County seats in North Carolina
Christopher Reid (entertainer)	1964 births, Living people, American actors, American comedians
Lenoir, North Carolina	Cities in North Carolina, County seats in North Carolina
Britannic (movie)	2000 movies
Carrboro, North Carolina	Towns in North Carolina
Morganton, North Carolina	Cities in North Carolina, County seats in North Carolina
Newton, North Carolina	Cities in North Carolina, County seats in North Carolina
Dispilio Tablet	Ancient Greece
News International phone hacking scandal	2007 crimes, 2011 in the United Kingdom, Controversies, 2007 in the United Kingdom
The Bleeding House	2011 horror movies, American horror movies
Wabi-sabi	Japan, Japanese culture
Brahman cattle	National symbols of India, Maharashtra, Cattle, Mammals of Asia
Red Chittagong Cow	Cattle breeds, National symbols of Bangladesh, Bangladeshi culture
Sahiwal cattle	Cattle breeds, National symbols of Pakistan, Pakistani culture
Maroon-backed Imperial pigeon	National symbols of Bangladesh, Doves
Asian emerald dove	National symbols of India, Doves, Indian culture
Pakistan Highflyer	Columbiformes, National symbols of Pakistan, Pakistani culture
Pakistani Cashmere Lop	National symbols of Pakistan, Lagomorphs, Pakistani culture
Monosexuality	Sexuality
Kajli sheep	Domesticated animals, National symbols of Pakistan, Pakistani culture
Magra sheep	Domesticated animals, National symbols of India, Indian culture
Jamnapari goat	Domesticated animals, National symbols of India, Indian culture
Somali Plate	Tectonic plates, Africa, Madagascar
Black Bengal goat	Domesticated animals, National symbols of Bangladesh, Bangladeshi culture
Cashmere goat	Domesticated animals, National symbols of Pakistan, Pakistani culture
Sperki	Domesticated animals, National symbols of Pakistan, Pakistani culture
Indian Halari Donkey	Domesticated animals, National symbols of India, Gujarat, Indian culture
Born in East L.A. (movie)	1987 comedy movies, American comedy movies, Mexican movies
Boana stenocephala	Frogs, Animals of South America
Pac-Man 256	Video games
Pac-Man Battle Royale	2014 video games
Lillian Smith (author)	1897 births, 1966 deaths, Writers from Atlanta, Georgia, Deaths from breast cancer, American civil rights activists
Burma Victory	1946 movies, Documentary movies, British movies, Movies directed by Roy Boulting
Parrish, Alabama	Towns in Alabama
I Quit Match	Wrestling
Lucky Jim (1957 movie)	1957 comedy movies, British comedy movies, Movies based on books, Movies directed by John Boulting
Chirlane McCray	1954 births, Living people, American poets, African American writers, Writers from New York City, Writers from Massachusetts, People from Springfield, Massachusetts
The Lady in Question	1940 movies, 1940s comedy movies, 1940s drama movies, 1940s romance movies, American romantic comedy movies, American romantic drama movies, Movies directed by Charles Vidor
Julia Butterfly Hill	People from Jonesboro, Arkansas, American environmentalists, 1974 births, Living people
Mimi Walters	US Republican Party politicians, United States representatives from California, Businesspeople from Los Angeles County, California, 1962 births, Living people
Evelyn Gandy	US Democratic Party politicians, 1920 births, 2007 deaths, Lieutenant Governors of Mississippi
Zhang Nala	Korean actors, Korean singers, 1981 births, Living people
Nenad Stekić	1951 births, 2021 deaths, Serbian sportspeople, Yugoslavian sportspeople, Long jumpers, Olympians
Tecno Spark 4	Android smartphones
Kurt Westergaard	1935 births, 2021 deaths, Dutch teachers, Cartoonists, Dutch artists
Infinix Note 7	Android smartphones
Prith Banerjee	1960 births, Living people, American computer scientists
ABC (band)	New wave bands, Musical groups from Sheffield, English pop music groups, 1980 establishments in England
Urea nitrate	Explosives
Tonye Irims	1970 births, Living people, Nigerian businesspeople
Parag Agrawal	Living people, Stanford University alumni
Joseph P. Remington	1847 births, 1918 deaths, Pharmacists
BMW i3	BMW
Tango Popping Candy	Candy
Şahan Gökbakar	Turkish actors, Living people, 1980 births
Cem Yılmaz	Turkish actors, Living people
Sarail hound	Dog breeds, National symbols of Bangladesh, Bangladeshi culture, Working dogs
Pygmy hog	Pigs, Domesticated animals, National symbols of Bangladesh, Bangladeshi culture, Mammals of Asia
Moupin pig	Pigs, Domesticated animals, National symbols of India, Madhya Pradesh, Indian culture, Mammals of Asia
Rhammel Afflick	1994 births, Living people, British activists, Writers from London
Onigiri	Japanese culture, Japanese food, Rice dishes
Central Asian boar	Pigs, Domesticated animals, National symbols of Pakistan, Pakistani culture, Mammals of Asia
Nori	Japanese food, Seafood dishes
Indian Nagpuri Buffalo	Bovines, Domesticated animals, National symbols of India, Maharashtra, Indian culture, Mammals of Asia
Mahish Buffalo	Bovines, Domesticated animals, National symbols of Bangladesh, Bangladeshi culture, Mammals of Asia
God of War (2018 video game)	God of War (franchise), 2018 video games
Snowboard Heaven	Capcom games, PlayStation 2 games, PlayStation 2-only games, 2000 video games, Racing video games, Japan exclusive video games
Tomás Sánchez	Painters, Cuban people, 1948 births, Living people
Pakistani buffalo	Bovines, Domesticated animals, National symbols of Pakistan, Punjab (Pakistan), Pakistani culture, Mammals of Asia
Biman Bangladesh Airlines	Airlines of Asia, Dhaka, National symbols of Bangladesh
Macross VF-X 2	PlayStation-only games, PlayStation games, 1999 video games, Japan exclusive video games, Shooter video games, 1990s video games
Pleyel et Cie	1800s establishments in Europe, 19th century establishments in France, 1807 establishments, Music companies, Companies of France
Springfield metropolitan area, Missouri	Springfield, Missouri, Metropolitan areas of the United States
Republic, Missouri	Cities in Missouri, Christian County, Missouri
Louis-Constantin Boisselot	1809 births, 1850 deaths, Musical instrument makers
Battlefield, Missouri	Cities in Missouri
Strafford, Missouri	Cities in Missouri
Willard, Missouri	Cities in Missouri
Paul Badura-Skoda	Austrian pianists, Classical musicians, People from Vienna, 1927 births, 2019 deaths
Implementation	Design
Angelina Nadie	1968 births, 2021 deaths, African actors, Ivorian people
Block Island	Settlements in Rhode Island, Islands of the United States
Speckled tree frog	Frogs, Animals of South America
Ronan Glynn	Irish people, Living people, Irish doctors
Kashmir musk deer	Deer, Mammals of Asia
Quail eggs	Egg
Delaware Bay	Geography of New Jersey, Bays of the United States
Honey Bunny In Kung Fu Challenge	Indian movies, Television movies, 2018 animated movies
Ask and Embla	Norse mythology
Markiesje	Spaniels
Karen Joy Fowler	Writers from Indiana, Short story writers, Science fiction writers, People from Bloomington, Indiana, Award winning writers, 1950 births, Living people
East Cape Girardeau, Illinois	Villages in Illinois, 1890s establishments in Illinois, 1890 establishments in the United States
Tommy Gulliksen	Norwegian people, Living people, Norwegian movie directors
Breakfast of Champions (movie)	1999 comedy movies, 1990s black comedy movies, American black comedy movies, Movies based on books, Movies directed by Alan Rudolph
Jai Hind	Parts of speech, Battles
James Tiptree Jr.	Writers from Chicago, Short story writers, Murder-suicides in the United States, 1915 births, 1987 deaths
1932 United States presidential election	1932 in the United States, Politics of the United States, United States presidential elections
Newsweek	1933 establishments in the United States, Magazines, Weekly magazines
Sare Jahan se Accha	Songs, National symbols of India, Indian culture
Independence Day (Pakistan)	August events, British India, Pakistani culture, History of Pakistan, History of Bangladesh, Holidays, Pakistan Movement, Indian independence movement, Politics of Pakistan
De Press	Polish musical groups, Norwegian musical groups
Defence Day	Holidays, Pakistani culture
1928 United States presidential election	1928 in North America, United States presidential elections
2019–20 Frauen Bundesliga	2019 in association football, 2020 in association football, Football in Germany
DFB-Pokal Frauen	Football competitions
2020–21 DFB-Pokal	2020 in association football, 2021 in association football
Sorry Angel	2018 drama movies, 2010s romantic drama movies, 2010s LGBT movies, French drama movies, French romance movies, Movies directed by Christophe Honoré
UEFA Euro 2028	UEFA European Championship, 2020s in sports, 2020s in Europe, Scheduled association football competitions
Holy Smoke	1999 drama movies, 1999 LGBT movies, American drama movies, American LGBT movies, Australian drama movies, Movies directed by Jane Campion
Movie adaptation	Movie industry
Sally Hemings	1773 births, 1835 deaths, History, People from Virginia, Slaves
Burnie, Tasmania	Cities in Tasmania
Kalash religion	Religion
Sexual objectification	Human sexuality, Controversies
The Magic Box (movie)	1951 drama movies, British biographical movies, British drama movies, Movies directed by John Boulting
Manipur Ancient and Historical Monuments and Archaeological Sites and Remains Act, 1976	Legislation, Manipur
Mir Qasim	Year of birth unknown, 1777 deaths
Festus, Missouri	Cities in Missouri
Crystal City, Missouri	Cities in Missouri
Lascivious behavior	United States law, Human sexuality
Surveying and Mapping (Amendment) Bill, 2020	Politics of Pakistan, 2020s in Pakistan, 2020 in Asia
Alstom	1920s establishments in France, 1928 establishments in Europe, Rail transport in Europe, Companies of France
Surveying and Mapping Act	Politics of Pakistan, 2010s in Pakistan, 2014 in Asia
Atanu Raychaudhuri	Living people, People from Kolkata
Stan Swamy	1937 births, 2021 deaths, Deaths from the COVID-19 pandemic in India, Indian activists, Jesuits, Roman Catholic priests
Project Pegasus revelations	July 2021 events
Magdaléna Vášáryová	1948 births, Living people, Slovakian actors, Slovakian politicians, Ambassadors
Loujain al-Hathloul	1989 births, Living people, Feminists, Socialites, Human rights activists, People from Jeddah
Blue Origin NS-16	Private spaceflight, July 2021 events
New Shepard	Rockets
Mercury Seven	NASA
Gordon Cooper	1927 births, 2004 deaths, Deaths from heart failure, American astronauts, Scientists from Oklahoma
Pebble Beach, California	Unincorporated communities in California, Settlements in Monterey County, California
Wally Schirra	1923 births, 2007 deaths, Deaths from myocardial infarction, Deaths from stomach cancer, American astronauts, Scientists from New Jersey, People from Hackensack, New Jersey
Forced Labour Convention	1930, Treaties
James McEachin	1930 births, Living people, American military personnel of the Korean War, American movie actors, American television actors, American voice actors, American stage actors, Actors from North Carolina, Actors from New Jersey, Writers from North Carolina, Writers from New Jersey, People from Hackensack, New Jersey
Rennert, North Carolina	Towns in North Carolina
Philip Carey	1925 births, 2009 deaths, Deaths from lung cancer, American movie actors, American television actors, American stage actors, American voice actors, Actors from New Jersey, Actors from New York City, People from Hackensack, New Jersey
Malverne, New York	Villages in New York
Deke Slayton	1924 births, 1993 deaths, Deaths from brain cancer, American astronauts, Scientists from Wisconsin
Clear Lake Shores, Texas	Cities in Texas
Hitchcock, Texas	Cities in Texas
Yelena Mizulina	Russian politicians, Controversies, 1954 births, Living people
