List of regions of Canada	Canada-related lists, Regions of Canada
200 Cigarettes	1999 comedy-drama movies, American comedy-drama movies, English-language movies, Movies set in New York City, Movies set in the 1980s
Hasse Wallman	1936 births, 2014 deaths, Accidental deaths, Swedish businesspeople, Composers, Swedish movie directors, Swedish movie producers, Musicians from Stockholm, Writers from Stockholm
Arturo Umberto Illia	1900 births, 1983 deaths, Presidents of Argentina
Gilles Latulippe	1937 births, 2014 deaths, Actors from Montreal, Canadian comedians, Canadian movie actors, Canadian stage actors, Cancer deaths in Quebec, Deaths from lung cancer, Canadian theatre directors
Rodney Milgate	1934 births, 2014 deaths, Actors from Sydney, Agnostics, Australian educators, Australian movie actors, Australian painters, Australian playwrights, Australian stage actors, Australian television actors, Australian television presenters, Cardiovascular disease deaths in New South Wales, Deaths from myocardial infarction, Disease-related deaths in Sydney, Writers from Sydney
Niles, Ohio	Cities in Ohio
Manuel Uribe Ángel	1822 births, 1904 deaths, Colombian writers, Physicians, Geographers, Civil servants
Ahmad Khan Kharal	1785 births, 1857 deaths, Punjabi people, Folklore, History of India
Siri Paya	Pakistani culture, Pakistani food, Indian food
Caldwell Jones	1950 births, 2014 deaths, African-American basketball players, Cardiovascular disease deaths in the United States, Chicago Bulls players, Deaths from myocardial infarction, Houston Rockets players, Philadelphia 76ers players, Portland Trail Blazers players, San Antonio Spurs players, Sportspeople from Arkansas, American basketball players
Abdullah II of Jordan	1962 births, Living people, Kings of Jordan
Republican Governors Association	United States Republican Party, 1963 establishments in the United States, Political organizations based in Washington, D.C.
Assheton Gorton	1930 births, 2014 deaths, Designers, Disease-related deaths in the United Kingdom, English artists, People from Yorkshire
Writing tool	Writing tools
Kharal	Ethnic groups in Pakistan, Punjabi people
Paleoanthropology	Paleontology, Humans, Evolution, Anthropology, Physical anthropology
Timeline	Statistics, Diagrams, Time
Heer Ranjha	Folklore, Pakistani culture, Punjabi people
Michael Harari	1927 births, 2014 deaths, Israeli Jews, Israeli military people, Jewish military people, People from Tel Aviv, People of the Mossad
Skip E. Lowe	1929 births, 2014 deaths, Actors from Mississippi, American movie actors, American television personalities, American television talk show hosts, Deaths from emphysema, Disease-related deaths in California
Henryk Glücklich	1945 births, 2014 deaths, Polish sportspeople, Speedway riders
Christopher Hogwood	1941 births, 2014 deaths, Alumni of the University of Cambridge, Conductors, English LGBT people, English writers, Entertainers from Nottingham, Gay men, LGBT musicians, Musicians from Nottinghamshire
Yasiel Puig	1990 births, Living people, Los Angeles Dodgers players, Cuban sportspeople
Matt Kemp	1984 births, Living people, African-American baseball players, Atlanta Braves players, Los Angeles Dodgers players, San Diego Padres players
By the Sword	American drama movies, American action movies, 1991 drama movies, 1991 movies, 1991 action movies
Class Action	1991 thriller movies, 1991 drama movies, 1991 movies, 20th Century Fox movies, Movies directed by Michael Apted
Cavalera Conspiracy	2007 establishments in the United States, 2000s American music groups, 2010s American music groups, American heavy metal bands, Metalcore bands, Musical groups established in 2007, Musical groups from Arizona, Phoenix, Arizona, 2000s establishments in Arizona
Greg Mackey	1961 births, 2014 deaths, Australian rugby league players, Cardiovascular disease deaths in Australia, Deaths from myocardial infarction, Disease-related deaths in New South Wales, Sportspeople from New South Wales
Cecilia Cenci	1942 births, 2014 deaths, Deaths from brain cancer, Disease-related deaths in Argentina, Argentine movie actors, People from Buenos Aires, Argentine stage actors, Argentine television actors
Erik van der Wurff	1945 births, 2014 deaths, 20th century composers, 21st century composers, Cancer deaths in the Netherlands, Dutch composers, Dutch conductors, Movie score composers, People from Utrecht (province), Dutch pianists, Record producers
Ben Webb (artist)	1976 births, 2014 deaths, New Zealand painters, People from Dunedin
Deborah Cavendish, Duchess of Devonshire	1920 births, 2014 deaths, Commanders of the Royal Victorian Order, Deaths from natural causes, English autobiographers, English royalty, Writers from Oxfordshire
Abubakar Shekau	20th century births, 2021 deaths, Murderers who committed suicide, Muslim terrorists, Nigerian people
Moktar Ali Zubeyr	1977 births, 2014 deaths, Deaths by airstrike, Al-Qaeda people, Somali people
Carl Crawford	Los Angeles Dodgers players, Living people, 1981 births, Tampa Bay Rays players, Boston Red Sox players, Sportspeople from Texas, Tampa Bay Devil Rays players
Roy Heather	1935 births, 2014 deaths, Actors from Buckinghamshire, Disease-related deaths in England, English movie actors, English television actors
Singles (movie)	1992 romance movies, 1992 comedy-drama movies, 1990s romantic comedy movies, 1990s romantic drama movies, American comedy-drama movies, American romantic comedy movies, American romantic drama movies, Movies set in Seattle, Washington, Warner Bros. movies, Movies directed by Cameron Crowe
Peter's Friends	1992 romance movies, 1992 comedy movies, 1990s romantic comedy movies, British romantic comedy movies
Ladybugs	1990s comedy movies, 1992 movies
Mountain man	North American people, Occupations, Explorers
American Shorthair	Cat breeds
Waris Shah	1722 births, 1798 deaths, Punjabi people, Asian Sufis
Lynching of Jesse Washington	1916 in the United States, Executed American people, 1910s in Texas, Murder in Texas, Murdered African-American people, Rape, Waco, Texas, Lynching
Kanjar	Ethnic groups in Pakistan, Ethnic groups in India
Fouzia Saeed	1959 births, Living people, Pakistani people, Punjabi people, Pakistani writers
Sulejman Tihić	1951 births, 2014 deaths, Members of the Presidency of Bosnia and Herzegovina, Chairmen of the Presidency of Bosnia and Herzegovina
Jorge Batlle Ibáñez	1927 births, 2016 deaths, Deaths from cerebral hemorrhage, Presidents of Uruguay, People from Montevideo
Ulrick Chérubin	1943 births, 2014 deaths, Mayors, Haitian people, Politicians from Quebec
Amos, Quebec	Cities and towns in Quebec
Anarkali Bazaar	Buildings and structures in Lahore
Hazara University	Colleges and universities in Pakistan, Education in Pakistan
Taxila	Towns in Pakistan
Karl Miller	1931 births, 2014 deaths, Alumni of the University of Cambridge, Biographers, British academics, British educators, British essayists, British journalists, Critics, Scottish writers
Jack Laviolette	1879 births, 1960 deaths, Canadian ice hockey coaches, Canadian ice hockey defencemen, Hockey Hall of Fame inductees, Ice hockey people from Ontario, Ice hockey people from Quebec, Montreal Canadiens players, Stanley Cup champions, Montreal Canadiens (NHA) players
Alexander Mosaic	Art, Archaeology
TMZ	2005 establishments, Entertainment websites, Time Warner subsidiaries
Glock	Pistols
Jonathan Coulton	1970 births, Living people, Alternative music
Nicholson Memorial	History of Pakistan, Buildings and structures in Pakistan, 1868 establishments, 1860s establishments in Pakistan
Marc LaBelle	1969 births, American Hockey League players, Canadian ice hockey left wingers, Colonial Hockey League players, Dallas Stars players, ECHL players, Hull Olympiques players, Ice hockey people from Quebec, International Hockey League (1945–2001) players, Living people, Victoriaville Tigres players
Enemy at the Gates	2001 drama movies, 2000s war movies, American drama movies, American war movies, English-language movies, French drama movies, German drama movies, British drama movies, Irish movies, Movies set in the 1940s, Movies set in Russia, Volgograd, World War II movies, Movies directed by Jean-Jacques Annaud
Shirali Muslimov	1805 births, 1973 deaths
True Lies	1994 action movies, 1994 movies, 20th Century Fox movies, American action movies, Movies about terrorism
Madis Kõiv	1929 births, 2014 deaths, Estonian scientists, Estonian writers, Physicists
Stephen Sykes	1939 births, 2014 deaths, British people
Heavy Heavy Low Low	Deathcore bands, American heavy metal bands, Musical groups established in 2004, Musical groups disestablished in 2012
Dorothy Tyler-Odam	1920 births, 2014 deaths, British female athletes, British Olympic silver medalists, Disease-related deaths in England, Members of the Order of the British Empire, Sportspeople from London
Rudolf Kortokraks	1928 births, 2014 deaths, Austrian painters, Disease-related deaths in Austria, German painters, People from Ludwigshafen, People from Salzburg
Naples National Archaeological Museum	Art museums in Italy, 1750s establishments in Europe, 18th century establishments in Italy
The Battle Hymn of the Republic	Songs, American Civil War
House of the Faun	Buildings and structures in Italy, Ancient Rome, Houses
Łobez	Towns in Poland
Philoxenos of Eretria	Painters, Ancient Greek painters
Darius III of Persia	Persian people, History of Persia
Carlotta Ikeda	1941 births, 2014 deaths, Ballet dancers, Cancer deaths in France, Deaths from liver cancer, Japanese entertainers, People from Fukui Prefecture
Anarkali (girl)	Folklore, History of Pakistan, History of India, Lahore
Imtiaz Ali Taj	1900 births, 1970 deaths, Indian writers, Pakistani writers, Playwrights
Anna (Disney)	Fictional characters introduced in 2013, Frozen (franchise), Movie characters, Disney characters, Kingdom Hearts characters
Aruviyodu Village	Villages in Kerala
Château de Meudon	Former royal residences, Buildings and structures in France, Île-de-France
Ronald Reagan 1980 presidential campaign	Ronald Reagan, United States presidential campaigns
