Step Up All In	2010s romantic drama movies, American romantic drama movies, 2014 movies
PEGIDA	2014 establishments in Europe, 2010s establishments in Germany, Islamophobia, Political movements, Politics of Germany
Öggestorp Church	Church of Sweden churches
Holmsund	Settlements in Vasterbotten County
Obbola	Settlements in Vasterbotten County
Röbäck	Settlements in Vasterbotten County
Klockrike	Settlements in Ostergotland County
Tjällmo	Settlements in Ostergotland County
Borensberg	Settlements in Ostergotland County
Silly Symphony	Animated movies
Power Rangers Dino Thunder	Mighty Morphin Power Rangers, English-language television programs
Peterbilt	Companies of the United States, 1939 establishments
Kenworth	1923 establishments in the United States, Companies of the United States
Fågelsta	Settlements in Ostergotland County
Fornåsa	Settlements in Ostergotland County
Godegård	Settlements in Ostergotland County
Nykyrka	Settlements in Ostergotland County
Österstad	Settlements in Ostergotland County
Cabu	1938 births, 2015 deaths, Cartoonists, People from Grand Est, French artists, French murder victims, Murders by firearm in France
Charb	1967 births, 2015 deaths, Cartoonists, French artists, French journalists, French murder victims, Murders by firearm in France, People from Ile-de-France
Tignous	1957 births, 2015 deaths, Artists from Paris, Cartoonists, French murder victims, Murders by firearm in France
Georges Wolinski	1934 births, 2015 deaths, Cartoonists, French artists, French journalists, French murder victims, Jewish French writers, Legion of Honour, Murders by firearm in France, People from Tunis, Writers from Paris
Bäckaby Old Church	Fires in Sweden, Church of Sweden churches, Wooden churches, Buildings and structures in Jönköping
Kulla Chapel	Church of Sweden churches, Fires, 1927 establishments in Sweden, 2000 disestablishments in Europe, 2000s disestablishments in Sweden
Södra Råda Old Church	Church of Sweden churches, Fires in Sweden, Wooden churches, 14th century establishments in Europe, Establishments in Sweden, 2001 disestablishments, 2000s disestablishments in Sweden
Blank Space	2014 songs, Borderline personality disorder in fiction, Pop songs, Taylor Swift songs
Nightcrawler	2014 crime movies, 2014 thriller movies, 2010s crime thriller movies, American crime thriller movies, Antisocial personality disorder in fiction, Film noir, Movies set in Los Angeles, California, American independent movies
Home invasion	Burglary, Violence
Indonesia AirAsia Flight 8501	2014 disasters, 2010s in Indonesia, Aviation disasters in Asia, Aviation disasters in the 2010s, December events
Åby, Norrköping Municipality	Settlements in Ostergotland County
Kimstad	Settlements in Ostergotland County
Bernice Madigan	1899 births, 2015 deaths, American supercentenarians, People from Massachusetts
Ljunga	Settlements in Vastra Gotaland County
Skärblacka	Settlements in Ostergotland County
Vånga	Settlements in Ostergotland County
Lindö	Settlements in Ostergotland County
Simonstorp	Settlements in Ostergotland County
Strömsfors	Settlements in Ostergotland County
Norsholm	Settlements in Ostergotland County
Östra Husby	Settlements in Ostergotland County
Åselstad	Settlements in Ostergotland County
Julio Scherer García	1926 births, 2015 deaths, Deaths from sepsis, Disease-related deaths in Mexico, Mexican journalists, Writers from Mexico City
Bernard Maris	1946 births, 2015 deaths, French economists, French journalists, French murder victims, Murders by firearm in France, People from Toulouse
Charlie Hebdo shooting	2015 in France, 2015 mass shootings, 2015 murders in Europe, 2010s crimes in France, 2010s in Paris, 2010s mass shootings in Europe, Islamic terrorist incidents in 2015, Islamic terrorist incidents in France, January events, Massacres in Europe, Mass murder in 2015, Mass murder in France, Murder in Paris, Murders by firearm in France, Terrorist incidents in Europe in the 2010s, Terrorist incidents in Paris
Charlie Hebdo	1970 establishments in France, French-language newspapers, Paris
Per-Olof Åstrand	1922 births, 2015 deaths, Swedish scientists
Lance Diamond	1946 births, 2015 deaths, American radio personalities, Singers from Buffalo, New York
Stu Miller	1927 births, 2015 deaths, St. Louis Cardinals players, Philadelphia Phillies players, San Francisco Giants players, Baltimore Orioles players, Atlanta Braves players, Sportspeople from Massachusetts
Vlastimil Bubník	1931 births, 2015 deaths, Czech footballers, People from Brno
Joy Ali	1978 births, 2015 deaths, Boxers, Fijian sportspeople
King Sporty	1943 births, 2015 deaths, Jamaican singers
Sentai	Military of Japan
Khan Bonfils	1972 births, 2015 deaths, Unexplained deaths, British movie actors, British stage actors
Jean-Pierre Beltoise	1937 births, 2015 deaths, Deaths from stroke, Formula One drivers, Sportspeople from Paris
Pino Daniele	1955 births, 2015 deaths, Cardiovascular disease deaths in Italy, Deaths from myocardial infarction, Entertainers from Campania, Guitarists, Singer-songwriters, People from Naples
Philippe Honoré	1941 births, 2015 deaths, People from Auvergne-Rhône-Alpes, Cartoonists, French artists, French murder victims, Murders by firearm in France
Professeur Choron	1929 births, 2005 deaths, French comedians
Swiss Chalet	1954 establishments in Canada, Canadian restaurants
Jethro Pugh	1944 births, 2015 deaths, American football defensive ends, American football defensive tackles, Dallas Cowboys players, Sportspeople from North Carolina
Tim Roberts	1976 births, 2015 deaths, American professional wrestlers, Sportspeople from New York City
Kep Enderby	1926 births, 2015 deaths, Australian judges, Australian Labor Party politicians, Politicians from New South Wales
Intel Core i5	Computer processors
Svartbyn	Settlements in Norrbotten County
Tallvik	Settlements in Norrbotten County
Vittsjö	Settlements in Skane County
Yngsjö	Settlements in Skane County
Morgongåva	Settlements in Uppsala County
Östervåla	Settlements in Uppsala County
Saint Peter's Church	Churches in Stockholm
Immanuel Church, Stockholm	Churches in Stockholm
German Church, Gothenburg	Church of Sweden churches, Churches in Gothenburg
Cookie Clicker	Video games
German Church, Stockholm	Churches in Stockholm, Church of Sweden churches
Immanuel Church, Jönköping	Churches in Sweden, Buildings and structures in Jönköping
Swedish Pentecostal Movement	Pentecostalism, Protestantism in Sweden, 1900s establishments in Sweden
Philadelphia Church	Churches in Stockholm
Statistics Sweden	Sweden, Government agencies, Statistics, 1858 establishments in Europe, 19th century establishments in Sweden
Garphyttan	Settlements in Orebro County
Media franchise	Media franchises
Grythyttan	Settlements in Orebro County
Seventh-day Adventist Church in Sweden	1880 establishments in Europe, Protestantism in Sweden, 1880s establishments in Sweden
Christian Council of Sweden	1992 establishments in Sweden, Christianity in Sweden
Canada men's national ice hockey team	National ice hockey teams, Ice hockey in Canada, 1963 establishments in North America, 1960s establishments in Canada
David Rolfe (swimmer)	2015 deaths, 1964 births, Australian Paralympic bronze medalists, Australian swimmers, Deaths from surgical complications, Sportspeople from New South Wales
Lethal Weapon 4	1990s action movies, 1990s comedy movies, 1998 movies, English-language movies, Warner Bros. movies
Lethal Weapon 3	1992 action movies, 1992 comedy movies, 1992 movies, Warner Bros. movies
Bonnie	Given names
Tadeusz Konwicki	1926 births, 2015 deaths, Polish movie directors, Polish screenwriters
Staryl C. Austin	1920 births, 2015 deaths, American military people, People from Oregon
Andraé Crouch	1942 births, 2015 deaths, African-American singers, American Christians, American gospel musicians, American record producers, Singer-songwriters from California, Christian clergy, American gospel singers, Deaths from myocardial infarction, Gospel Music Hall of Fame inductees, Grammy Award winners, Musicians from San Francisco
Jan Olszewski	1930 births, 2019 deaths, Politicians from Warsaw, Prime Ministers of Poland
Józef Oleksy	1946 births, 2015 deaths, Cancer deaths in Poland, Prime Ministers of Poland, Marshals of the Sejm
Mompati Merafhe	1936 births, 2015 deaths, Botswana politicians, Vice Presidents of Botswana
B. S. Abdur Rahman	1927 births, 2015 deaths, Indian businesspeople, Indian educators, Indian philanthropists
Theo van Gogh	1957 births, 2004 deaths, Dutch columnists, Dutch movie actors, Dutch movie directors, Dutch movie producers, Dutch murder victims, Dutch television actors, Islamophobia, People murdered in the Netherlands, Writers from The Hague
Elsa Cayat	1960s births, 2015 deaths, French journalists, French murder victims, French scientists, Murders by firearm in France, Writers from Paris
Tihomir Novakov	1929 births, 2015 deaths, Deaths from natural causes, Naturalized citizens of the United States, Serbian people, American physicists, Scientists from California
Kiruna Church	Church of Sweden churches
Ray McFall	1926 births, 2015 deaths, The Beatles, English businesspeople, People from Liverpool
Joseph Djida	1945 births, 2015 deaths, Cameroonian people, Roman Catholic bishops
Umeå City Church	Church of Sweden churches, Umeå
Mizda	Libya, Towns in Africa
Emily Lloyd	Actors from London, English movie actors, English television actors, 1970 births, Living people
Vittangi	Settlements in Norrbotten County
Jukkasjärvi	Settlements in Norrbotten County
Karesuando	Settlements in Norrbotten County
Lara Fabian	1970 births, Living people, People from Brussels-Capital Region, Canadian singers, Musicians from Brussels
Julie Bowen	Actors from Baltimore, Maryland, American movie actors, American television actors, 1970 births, Living people
Svappavaara	Settlements in Norrbotten County
Kuttainen	Settlements in Norrbotten County
Korpilombolo	Settlements in Norrbotten County
Gammelstaden	Settlements in Norrbotten County
Bälinge	Settlements in Uppsala County
Öxabäck	Settlements in Vastra Gotaland County
Västerhaninge	Settlements in Stockholm County
Ljugarn	Settlements in Gotland County
Sexdrega	Settlements in Vastra Gotaland County
Östra Frölunda	Settlements in Vastra Gotaland County
Harplinge	Settlements in Halland County
Kinnarp	Settlements in Vastra Gotaland County
Kättilstorp	Settlements in Vastra Gotaland County
Vartofta	Settlements in Vastra Gotaland County
Åsarp	Settlements in Vastra Gotaland County
Stenstorp	Settlements in Vastra Gotaland County
Torbjörntorp	Settlements in Vastra Gotaland County
Odensberg	Settlements in Vastra Gotaland County
Gudhem	Settlements in Vastra Gotaland County
Hagbyhöjden	Settlements in Stockholm County
Blikstorp	Settlements in Vastra Gotaland County
Korsberga	Settlements in Vastra Gotaland County
Slottsskogen	Settlements in Uppsala County
Alvik	Settlements in Norrbotten County
Järna, Södertälje Municipality	Settlements in Stockholm County
Nås	Settlements in Dalarna County
Äppelbo	Settlements in Dalarna County
Täfteå	Settlements in Vasterbotten County
Robert Cunning	1930 births, Scottish footballers, 1983 deaths, Fife
Tavelsjö	Settlements in Vasterbotten County
Sävar	Settlements in Vasterbotten County
Hörnefors	Settlements in Vasterbotten County
Lori Beth Denberg	Actors from Los Angeles, California, American movie actors, American television actors, Comedians from Los Angeles, California, 1976 births, Living people
Boliden	Settlements in Vasterbotten County
Malmbäck	Settlements in Jonkoping County
Bodafors	Settlements in Jonkoping County
Stensjön	Settlements in Jonkoping County
