Dizzee Rascal	English rap musicians, Grime music artists, Living people, 1984 births
San Clemente, California	Cities in California, Settlements in Orange County, California
Kevin Beattie	1953 births, 2018 deaths, Cardiovascular disease deaths in England, Deaths from myocardial infarction, English footballers, Sportspeople from Cumbria
Anneke Grönloh	1942 births, 2018 deaths, Deaths from leukemia, Dutch singers
Zienia Merton	1945 births, 2018 deaths, Burmese people, British movie actors, British television actors, British stage actors
Kirin Kiki	1943 births, 2018 deaths, Deaths from breast cancer, Actors from Tokyo
List of current members of the United States Senate	United States senators
Dudley Sutton	1933 births, 2018 deaths, Cancer deaths in London, English movie actors, English television actors, English stage actors, English voice actors, Actors from London, Actors from Surrey
José Manuel de la Sota	1949 births, 2018 deaths, Road accident deaths, Argentine politicians
Zhu Xu	1930 births, 2018 deaths, Deaths from mesothelioma, Chinese movie actors, People from Beijing
James B. Thayer	1922 births, 2018 deaths, American military personnel of World War II, Businesspeople from Portland, Oregon
Khabib Nurmagomedov	1988 births, Living people, Mixed martial artists, Muslims, Russian sportspeople
Makhachkala	Capitals of republics of Russia, Caucasus
Joseph Lister	1827 births, 1912 deaths, Fellows of the Royal Society, Presidents of the Royal Society, Surgeons
William Thomson	1824 births, 1907 deaths, People from Belfast, British physicists, British scientists, People buried in Westminster Abbey, Knights Grand Cross of the Royal Victorian Order, Fellows of the Royal Society, Presidents of the Royal Society, Knights Bachelor
San Joaquin County, California	1850 establishments in California, San Joaquin County, California
San Luis Obispo County, California	San Luis Obispo County, California, 1850 establishments in California
Santa Cruz County, California	1850 establishments in California, Santa Cruz County, California
Secretin	Hormones
Sierra County, California	1850s establishments in California, 1852 establishments in the United States, Sierra County, California
Stanislaus County, California	1854 establishments in California, Stanislaus County, California
Sutter County, California	1850 establishments in California, Sutter County, California
Trinity County, California	Trinity County, California, 1850 establishments in California
Tuolumne County, California	1850 establishments in California, Tuolumne County, California
Yolo County, California	1850 establishments in California, Yolo County, California
Yuba County, California	1850 establishments in California, Yuba County, California
Adams County, Illinois	1825 establishments in Illinois, Illinois counties
Alexander County, Illinois	1810s establishments in Illinois, 1819 establishments in the United States, Illinois counties
Bond County, Illinois	Illinois counties
Cambridge, Illinois	Villages in Illinois, County seats in Illinois
Elizabethtown, Illinois	Villages in Illinois, County seats in Illinois
Boone County, Illinois	Illinois counties
Joe Calzaghe	1972 births, Living people, British boxers, Commanders of the Order of the British Empire, People from Hammersmith, Sportspeople from London, Welsh sportspeople
Enzo Calzaghe	1949 births, 2018 deaths, Coaches, British musicians, Members of the Order of the British Empire, People from Sardinia
Hardin, Illinois	Villages in Illinois, County seats in Illinois
Taylorville, Illinois	Cities in Illinois, County seats in Illinois
Louisville, Illinois	Villages in Illinois, County seats in Illinois
Toledo, Illinois	Villages in Illinois, County seats in Illinois
Tuscola, Illinois	Cities in Illinois, County seats in Illinois
Oquawka, Illinois	Villages in Illinois, County seats in Illinois
Hennepin, Illinois	Villages in Illinois, County seats in Illinois
Toulon, Illinois	Cities in Illinois, County seats in Illinois
Jonesboro, Illinois	Cities in Illinois, County seats in Illinois
Bureau County, Illinois	Illinois counties
Carroll County, Illinois	Illinois counties
Cass County, Illinois	Illinois counties
Champaign County, Illinois	1830s establishments in Illinois, 1833 establishments in the United States, Illinois counties
Christian County, Illinois	1839 establishments in Illinois, Illinois counties
Lord Farquaad	Fictional characters introduced in 2001, Shrek characters
Clark County, Illinois	1810s establishments in Illinois, 1819 establishments in the United States, Illinois counties
Clinton County, Illinois	Illinois counties
Coles County, Illinois	Illinois counties
Crawford County, Illinois	Illinois counties
Cumberland County, Illinois	Illinois counties
DeWitt County, Illinois	1839 establishments in Illinois, Illinois counties
Douglas County, Illinois	Illinois counties
Edgar County, Illinois	Illinois counties
Ayr	Towns in Scotland, Ayrshire
Edwards County, Illinois	Illinois counties
The Busy World of Richard Scarry	American animated television series, Canadian animated television series, French television series, 1990s American television series, 1990s Canadian television series, 1993 television series debuts, 1997 television series endings, Animated adventure television series, Fantasy television series, Nickelodeon television series
Martin Olson	1956 births, Living people, American television writers, American television producers, American television actors, American voice actors, American novelists, American composers, Writers from Boston, Massachusetts, Actors from Boston, Massachusetts, Comedians from Massachusetts
Maartin Allcock	1957 births, 2018 deaths, Deaths from liver cancer, English guitarists, Violinists, Record producers, Musicians from Manchester
Big Jay McNeely	1927 births, 2018 deaths, Deaths from prostate cancer, Cancer deaths in California, American saxophonists, American R&B musicians, American soul musicians, Musicians from Los Angeles, California
Moreno Valley, California	Cities in California, Settlements in Riverside County, California
Hope Hicks	1988 births, Living people, Models from Connecticut, Politicians from Connecticut, People from Greenwich, Connecticut, US Republican Party politicians, White House Communications Directors
Mercedes Schlapp	1972 births, Living people, American lobbyists, American columnists, Republicans (United States), Writers from Miami, Florida
Port Washington, New York	Hamlets in New York, Census-designated places in New York (state)
Lake Oswego, Oregon	Cities in Oregon
Narvik	Cities in Norway, Towns in Europe, Municipalities of Norway
Captain Raju	1950 births, 2018 deaths, Deaths from stroke, Cardiovascular disease deaths in India, Indian movie actors, Indian television actors, Indian military people, People from Kerala
Andrew R. Wheeler	1964 births, Living people, Administrators of the United States Environmental Protection Agency, American lawyers, Politicians from Ohio, US Republican Party politicians
Port Austin, Michigan	Villages in Michigan
Danica Roem	1984 births, Living people, American journalists, Transgender and transsexual people, LGBT politicians, Writers from Virginia, Politicians from Virginia, US Democratic Party politicians
Rashida Tlaib	1976 births, Living people, United States representatives from Michigan, American Muslims, State legislators of the United States, Politicians from Detroit, Michigan, US Democratic Party politicians
Fox & Friends	1998 television series debuts, Fox television series, English-language television programs
Steve Doocy	1956 births, Living people, American television personalities, American novelists, American conservatives, American political commentators, Fox News people, Writers from Iowa
Ainsley Earhardt	1976 births, Living people, American television personalities, American journalists, American television news anchors, American political commentators, Fox News people, Writers from South Carolina, People from Spartanburg, South Carolina
Spartanburg, South Carolina	Cities in South Carolina, County seats in South Carolina
Brian Kilmeade	1964 births, Living people, American radio personalities, American television news anchors, American political writers, American political commentators, American novelists, Fox News people, Television personalities from New York City, Writers from New York City
Pete Hegseth	1980 births, Living people, American television personalities, American political commentators, Fox News people, American military people, Writers from Minneapolis, Minnesota, Politicians from Minneapolis, Minnesota, US Republican Party politicians
Griff Jenkins	1970 births, Living people, American radio personalities, American television producers, Television personalities from Los Angeles, California, Fox News people
Abby Huntsman	1986 births, Living people, American television personalities, American television news anchors, American political commentators, Fox News people, American LGBT rights activists, American conservatives, People from Philadelphia, Pennsylvania, People from Salt Lake City, Utah
Tommy Best	1920 births, 2018 deaths, Deaths from Alzheimer's disease, Welsh footballers, Military personnel of World War II
Vanessa Marquez	1968 births, 2018 deaths, People shot dead by law enforcement officers in the United States, Murders by firearm in California, American crime victims, American movie actors, American television actors, Actors from Los Angeles County, California, Singers from Los Angeles County, California
South Pasadena, California	Cities in California, Settlements in Los Angeles County, California
Katrina vanden Heuvel	1959 births, Living people, American editors, American progressives, American political commentators, Writers from New York City, Businesspeople from New York City
Greatest Royal Rumble	Royal Rumble, April 2018 events, 2018 in Asia, 2010s in Saudi Arabia, Asian culture, Jeddah, World Wrestling Entertainment pay-per-view events, Professional wrestling, World Wrestling Entertainment championships
The Whispers	1960s establishments in California, 1964 establishments in the United States, American R&B bands, Musical groups from Los Angeles, California, Musical groups established in 1964, 1960s American music groups, 1970s American music groups, 1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups
Celia Barquín Arozamena	1996 births, 2018 deaths, Golfers, Murdered sportspeople, Murders by blade weapons, People from Cantabria, People murdered in the United States, Spanish sportspeople
Effingham County, Illinois	Illinois counties
Fayette County, Illinois	Illinois counties, 1821 establishments in Illinois
Ford County, Illinois	Illinois counties
Fulton County, Illinois	1820s establishments in Illinois, 1823 establishments in the United States, Illinois counties
Gallatin County, Illinois	1810s establishments in Illinois Territory, 1812 establishments in the United States, Illinois counties
