Executive order (United States)	United States law
Vanne (river)	Rivers of France, Grand Est, Bourgogne-Franche-Comté
Uetikon am See	Municipalities of Zürich
Uitikon	Municipalities of Zürich
Unterengstringen	Municipalities of Zürich
Unterstammheim	Former municipalities of Zürich
Money in the Bank (2017)	WWE Money in the Bank, Sports in St. Louis, Missouri, 2017 in sports, 2010s in St. Louis, Missouri
Burnet County, Texas	Texas counties
Caldwell County, Texas	Texas counties
Callahan County, Texas	Texas counties
Cass County, Texas	Texas counties
Chambers County, Texas	Texas counties
Cherokee County, Texas	Texas counties
Childress County, Texas	Texas counties
Clay County, Texas	Texas counties, 1860 establishments in the United States, 19th-century establishments in Texas
Coke County, Texas	Texas counties
Coleman County, Texas	Texas counties
Colorado County, Texas	Texas counties
Zoltan Sarosy	1906 births, 2017 deaths, Canadian sportspeople, Chess players, Supercentenarians, Sportspeople from Budapest, Sportspeople from Toronto
Steffi Martin	1962 births, 2017 deaths, Cancer deaths in Germany, Deaths from pancreatic cancer, East German sportspeople, German Olympic gold medalists, Sportspeople from Saxony, Sportswomen
Sergei Mylnikov	1958 births, 2017 deaths, Deaths from heart failure, Olympic gold medalists, Russian ice hockey goaltenders
Mustafa Tlass	1932 births, 2017 deaths, Generals, Government ministers, Syrian military people, Syrian politicians
Abdul Halim Khaddam	1932 births, 2020 deaths, Deaths from myocardial infarction, Presidents of Syria, Vice presidents
Con Sciacca	1947 births, 2017 deaths, Deaths from liver cancer, Cancer deaths in Australia, Italian politicians, Politicians from Queensland
Tuomas Gerdt	1922 births, 2020 deaths, Finnish military people
You'll Never Walk Alone	1945 works, 1963 songs, Liverpool, Merseyside
Anthony Browne (author)	1946 births, Living people, British children's writers, People from Sheffield
Alexa Bliss	1991 births, American professional wrestlers, Living people, Sportspeople from Columbus, Ohio, WWE wrestlers
The Beguiled (movie)	Movies about sexuality, 2017 drama movies, 2010s feminist movies, American drama movies, Movies based on books, Movies directed by Sofia Coppola
Sofia Coppola	movie producers from New York City, American movie actors, actors from New York City, 1971 births, living people
Jean-Pierre Kahane	1926 births, 2017 deaths, French educators, French mathematicians, Writers from Paris
Robert M. Shoemaker	1924 births, 2017 deaths, American military people, American educators, People from Michigan, People from Texas
Gunter Gabriel	1942 births, 2017 deaths, Accidental deaths from falls, German singers, German composers, German writers, German musicians
Frank Kush	1929 births, 2017 deaths, Deaths from dementia, Disease-related deaths in Arizona, American football coaches, Sportspeople from Arizona, Sportspeople from Pennsylvania
Keith Loneker	1971 births, 2017 deaths, Actors from New Jersey, American movie actors, Atlanta Falcons players, Cancer deaths in the United States, Los Angeles Rams players, Sportspeople from New Jersey, St. Louis Rams players
Gene Reynolds	Emmy Award winning directors, 1923 births, 2020 deaths, Deaths from heart failure, Cardiovascular disease deaths in California, American movie actors, American television actors, American stage actors, American child actors, American television writers, American television directors, American television producers, Actors from Cleveland, Ohio, Writers from Cleveland, Ohio
Moudon (district)	Former districts of Vaud
Orbe (district)	Former districts of Vaud
Ural River	Rivers of Russia
Urdorf	Municipalities of Zürich
El Paso County, Colorado	Colorado counties
Uster	Municipalities of Zürich, Cities in Switzerland
Cerebral infarction	Heart disease, Medical emergencies
Fredrik Skagen	1936 births, 2017 deaths, Norwegian writers
Michalovce	Cities in Slovakia
Mr. Pogo	1951 births, 2017 deaths, Deaths from cerebral infarction, Deaths from surgical complications, Japanese sportspeople, Wrestlers
Villarreal	Cities in Valencia (autonomous community), Municipalities in Valencia (autonomous community)
Gabe Pressman	Emmy Award winners, 1924 births, 2017 deaths, American television presenters, Television personalities from New York City, Journalists from New York City
Mackay, Queensland	Cities in Queensland
Saman Kelegama	1959 births, 2017 deaths, Deaths from myocardial infarction, Economists, Writers, People from Colombo
Resistencia, Chaco	Cities in Argentina, Capitals of Argentine provinces
Stefano Rodotà	1933 births, 2017 deaths, Italian politicians, Italian writers
Bischwihr	Communes in Haut-Rhin
Bisel	Communes in Haut-Rhin
Bitschwiller-lès-Thann	Communes in Haut-Rhin
Blodelsheim	Communes in Haut-Rhin
Wiener Neustadt	Cities and towns in Lower Austria, Districts of Lower Austria
Barletta	Cities in Apulia, Capital cities in Italy
Hudson, Ohio	Cities in Ohio
Deer Park, Ohio	Cities in Ohio
Canfield, Ohio	Cities in Ohio
Blotzheim	Communes in Haut-Rhin
Volken	Municipalities of Zürich
Cote de Pablo	American television actors, 1979 births, Living people, People from Santiago
Volketswil	Cities in Switzerland, Municipalities of Zürich
Anthony DiNozzo	Television characters, Fictional characters
Wädenswil	Cities in Switzerland, Municipalities of Zürich
Au, Zürich	Villages in Zürich
Zwillikon	Villages in Zürich
Ada, Ohio	Villages in Ohio
Peter the Aleut	1815 deaths, Christian saints
Italian invasion of French Somaliland	Invasions of World War II, 1940s in Italy, 1940 in France, 20th century in Africa
Wilmot Proviso	Slavery, Origins of the American Civil War
Long sprint	Events in athletics
Lung tumor	Health problems, Cancer
Relaxin	Hormones
Willi Stoph	1914 births, 1999 deaths, German atheists, Members of the Volkskammer, Politicians from Berlin, Politicians of the Socialist Unity Party of Germany, Presidents of East Germany, Prime Ministers of East Germany
Wald, Zürich	Municipalities of Zürich
Wallisellen	Municipalities of Zürich, Cities in Switzerland
Waltalingen	Former municipalities of Zürich
Wangen-Brüttisellen	Municipalities of Zürich
Wasterkingen	Municipalities of Zürich
Weiach	Municipalities of Zürich
Oron (district)	Former districts of Vaud
Payerne (district)	Former districts of Vaud
Pays-d'Enhaut (district)	Former districts of Vaud
Rolle (district)	Former districts of Vaud
La Vallée (district)	Former districts of Vaud
Vevey (district)	Former districts of Vaud
Tabaré Hackenbruch	1928 births, 2017 deaths, Uruguayan politicians, Mayors
Yverdon (district)	Former districts of Vaud
Nikolai Zhugan	1917 births, 2017 deaths, Centenarians, Russian people, Soviet generals, Soviet military personnel of World War II
Tonny van der Linden	1932 births, 2017 deaths, Dutch footballers, Sportspeople from Utrecht (city)
Weiningen, Switzerland	Municipalities of Zürich
Nils Nilsson (ice hockey player)	1936 births, 2017 deaths, Swedish ice hockey players, Swedish Olympians, Olympic silver medalists
Weisslingen	Municipalities of Zürich
Oerlikon (Zürich)	Former municipalities of Zürich
Paradigm	Philosophy
Parker Lee McDonald	1924 births, 2017 deaths, American judges, Politicians from Florida, US Democratic Party politicians
Saetgang Station	Railway stations in South Korea
Southaven, Mississippi	Cities in Mississippi, 1980 establishments in the United States, 20th-century establishments in Mississippi
Gordon Wilson (Scottish politician)	1938 births, 2017 deaths, Scottish politicians, People from Glasgow
Maria Mutagamba	1952 births, 2017 deaths, Deaths from liver cancer, Economists, Government ministers, Ugandan politicians
Mats Johansson	1951 births, 2017 deaths, Swedish journalists, Swedish politicians
Mike Gartner	1959 births, Living people, Toronto Maple Leafs players, Washington Capitals players, New York Rangers players, Phoenix Coyotes players, Hockey Hall of Fame inductees, Ice hockey people from Ontario, World Hockey Association players, Ontario Hockey League players
Excellency	Linguistics, Styles (manners of address)
Doubs (river)	Rivers of France, Rivers of Switzerland, Bourgogne-Franche-Comté
Barmas Gilgit	Settlements in Pakistan
José Manuel Mourinho Félix	1938 births, 2017 deaths, Portuguese footballers, Portuguese football managers
Mohammad bin Salman	1985 births, Living people, Saudi Arabian people, Princes and princesses
Posen	Poznań
Elsa Daniel	1936 births, 2017 deaths, Deaths from pneumonia, Argentine movie actors
Adige	Rivers of Italy, Trentino-Alto Adige/Südtirol, Veneto
K. R. Mohanan	1947 births, 2017 deaths, Deaths from stomach cancer, Cancer deaths in India, Indian movie directors
Olga Feliú	1932 births, 2017 deaths, Chilean politicians, Chilean lawyers
Desh Bandhu Gupta	1938 births, 2017 deaths, Indian businesspeople, Billionaires
Habib Thiam	1933 births, 2017 deaths, Prime Ministers of Senegal, People from Dakar
FIFA Arab Cup	FIFA Arab Cup, 1963 establishments
1963 Arab Cup	FIFA Arab Cup
1964 Arab Cup	FIFA Arab Cup
Comal County, Texas	Texas counties
Comanche County, Texas	Texas counties
Concho County, Texas	Texas counties
Alice Trolle-Wachtmeister	1926 births, 2017 deaths, Deaths from Alzheimer's disease, Swedish nobility
Cottle County, Texas	Texas counties
Crane County, Texas	Texas counties
Suh Yun-bok	1923 births, 2017 deaths, South Korean sportspeople, Competitors in athletics, Olympians, People from Seoul
Burlington College	Colleges and universities in Vermont, Burlington, Vermont, 2016 disestablishments in the United States
Subpoena	Legal terms
Danger Mouse	British children's television series, 1981 British television series debuts, 1992 television series endings, Animated characters, English-language television programs
Nodeul Station	Railway stations in South Korea
Carsten Sieling	1959 births, Living people, Former members of the German Bundestag, Mayors of Bremen, Members of the German Bundesrat, Politicians from Lower Saxony, Politicians of the Social Democratic Party of Germany
Canton Tower	Buildings and structures in China, Towers in Asia, 2010 establishments in Asia, 2010s establishments in China, Buildings and structures completed in the 21st century
Gaehwa Station	Railway stations in South Korea, 2009 establishments in Asia, 2000s establishments in South Korea
Brazilian National Anthem	19th century songs, 20th century songs, National anthems, Brazil
Niederdorf, Saxony	Erzgebirgskreis Rural District
Floyd Mayweather Jr.	1977 births, Living people, American Olympic bronze medalists, African-American boxers, Sportspeople from Grand Rapids, Michigan
Gwangmyeongsageori Station	Railway stations in South Korea, 2000s establishments in South Korea
Wettswil am Albis	Municipalities of Zürich
Campobasso	Regional capitals in Italy, Cities in Molise
Parikkala	Municipalities of South Karelia
Chillicothe, Ohio	Cities in Ohio, County seats in Ohio
Shubra El-Kheima	Cities in Egypt
Bollwiller	Communes in Haut-Rhin
Berca	Communes in Buzău County
Le Bonhomme	Communes in Haut-Rhin
Michael Nyqvist	1960 births, 2017 deaths, Deaths from lung cancer, Cancer deaths in Sweden, Swedish movie actors, Swedish television actors, Swedish stage actors, Actors from Stockholm
Doug Peterson	1945 births, 2017 deaths, Deaths from colorectal cancer, Cancer deaths in California, American artists, People from Los Angeles, California
Piotr Bikont	1955 births, 2017 deaths, Road accident deaths, Polish writers, Polish journalists, Critics, People from Łódź
Valentín Pimstein	1925 births, 2017 deaths, Deaths from respiratory arrest, Television producers, People from Santiago
Ric Suggitt	1958 births, 2017 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in Canada, Rugby union players, Sportspeople from Edmonton
Geri Allen	1957 births, 2017 deaths, Cancer deaths in Pennsylvania, American jazz musicians, American blues musicians, American funk musicians, American gospel musicians, American pianists, American educators, People from Pontiac, Michigan, Musicians from Detroit, Michigan
Lincoln Almond	1936 births, Living people, American lawyers, Boston University alumni, Governors of Rhode Island, US Republican Party politicians, People from Pawtucket, Rhode Island
Philip W. Noel	1931 births, Living people, Governors of Rhode Island, US Democratic Party politicians, People from Warwick, Rhode Island
Fob James	1934 births, Living people, Engineers from Alabama, American football players, Episcopalians, Governors of Alabama, US Republican Party politicians
Jere Beasley	1935 births, Living people, American lawyers, American Methodists, Governors of Alabama, Politicians from Texas, US Democratic Party politicians, Lieutenant Governors of Alabama
