Remo Sernagiotto	1955 births, 2020 deaths, Former MEPs, MEPs for Italy, Deaths from myocardial infarction
Irwin M. Jacobs	1933 births, Living people, Engineers from Massachusetts, Businesspeople from Massachusetts, Scientists from Massachusetts
Paige Rense	1929 births, 2021 deaths, Cardiovascular disease deaths in Florida, American novelists, American editors, Writers from Des Moines, Iowa, Businesspeople from Iowa
Bethany Joy Lenz	1981 births, Singers from Florida, American television actors, American movie actors, Actors from Florida, Living people
Gerry Marsden	1942 births, 2021 deaths, Cardiovascular disease deaths in England, English pop singers, English pop musicians, English rock guitarists, English rock singers, English singer-songwriters, English television personalities, Infectious disease deaths in England, Musicians from Liverpool, Singers from Liverpool, Writers from Liverpool
Gary Staples	1940 births, 2021 deaths, Cancer deaths in the United States, State legislators of the United States, Politicians from Mississippi, US Republican Party politicians
Oze	Communes in Hautes-Alpes
Subiakto Tjakrawerdaya	1944 births, 2021 deaths, Deaths from the COVID-19 pandemic in Indonesia, Indonesian politicians, Indonesian businesspeople
Brian Urquhart	1919 births, 2021 deaths, British politicians, People from Dorset, British centenarians
Tyringham, Massachusetts	Towns in Massachusetts
Mayfield Heights, Ohio	Cities in Ohio
Aspres-sur-Buëch	Communes in Hautes-Alpes
Reagan (2021 movie)	2021 movies, 2020s drama movies, Ronald Reagan, American drama movies
Kevin Dillon	1965 births, Living people, American movie actors, American television actors, American stage actors, Actors from New York
Lesley-Anne Down	1954 births, Living people, British movie actors, British television actors, British stage actors, British voice actors, Models from London, Actors from London, Singers from London
Cary-Hiroyuki Tagawa	1950 births, Living people, Naturalized citizens of the United States, Japanese movie actors, Japanese television actors, Japanese voice actors, Japanese stage actors, Japanese movie producers, American movie producers, American movie actors, American television actors, American stage actors, American voice actors, Russian movie producers, Russian movie actors, Russian television actors, Russian stage actors, Russian voice actors, Martial artists, Actors from Tokyo, Actors who played in James Bond movies
Breanna Yde	American actors, 2003 births
Janet Lilly	1957 births, American dancers, American choreographers, Actors from Iowa City, Iowa, Living people
Daneliya Tuleshova	2006 births, Living people
Lizzy Greene	2003 births, Living people, Actors from Dallas, Texas, American child actors, American television actors
Kathryn Bernardo	1996 births, Filipino actors
Fulwell	Areas of London, London Borough of Richmond
Isabela Moner	2001 births, American actors
Summer Walker	1996 births, Singers from Atlanta, Georgia, American contemporary R&B singers, Living people
Terence Trent D'Arby	1962 births, African-American singers, American singer-songwriters, American contemporary R&B singers, Singers from New York City, Musicians from Manhattan, Living people
1972 UEFA Cup Final	1972 in sports, 20th century in London, 1970s in the United Kingdom, UEFA, Sport in London
Truckee, California	Cities in California, Nevada County, California
Scarlet Spencer	American television actors, Living people, American movie actors, American child actors, 2007 births
Jean Louisa Kelly	1972 births, American television actors, American musical theatre actors, American movie actors, Actors from Massachusetts, People from Worcester, Massachusetts, Living people
Lisa Ray	1972 births, Canadian television actors, Canadian movie actors, Canadian models, Actors from Toronto, Living people
Lacey Turner	1988 births, English television actors, Award winning actors, Actors from London, Living people
Keshia Chanté	1988 births, Singers from Toronto, R&B musicians, Canadian television actors, Actors from Toronto, Actors from Ottawa, Living people
Din Djarin	Star Wars characters, Fictional characters introduced in 2019
Papurana arfaki	Animals of Oceania, Frogs
Eleanor Tomlinson	1992 births, English television actors, English movie actors, Actors from London, Living people
Tapitallee	Settlements in New South Wales
Xander Mobus	American voice actors, American video game actors, Living people, Year of birth missing (living people)
Kerry Vincent	1945 births, 2021 deaths, Australian television presenters, Chefs, Disease-related deaths in the United States
SM Town	Korean musicians
Paige O'Hara	1956 births, American voice actors, American musical theatre actors, American movie actors, American painters, Actors from Florida, Singers from Florida, People from Fort Lauderdale, Florida, Living people
Bobby Driscoll	1937 births, American television actors, American movie actors, Award winning actors, Actors from Cedar Rapids, Iowa, Deaths from heart failure, 1968 deaths
Terry Farrell	1963 births, American television actors, American movie actors, American models, Actors from Cedar Rapids, Iowa, Living people
Abilly	Communes in Indre-et-Loire
Seizō Fukumoto	1943 births, 2021 deaths, Deaths from lung cancer, Japanese movie actors, Japanese television actors, Japanese stage actors
Pablo Hernández (cyclist)	1940 births, 2021 deaths, Colombian cyclists, Olympians
Georg Maier	1941 births, 2021 deaths, German movie actors, German stage actors, German television actors, German theatre directors
Jean Panisse	1928 births, 2021 deaths, French movie actors, French stage actors, French television actors, Deaths from the COVID-19 pandemic in France, Actors from Marseille
Alex Asmasoebrata	1951 births, 2021 deaths, Deaths from pancreatic cancer, Indonesian politicians, Racecar drivers, Deaths from heart cancer
Alexander Belov	1951 births, 1978 deaths, Deaths from heart cancer, Soviet Olympic medalists, Basketball players
Bernadette Isaac-Sibille	1930 births, 2021 deaths, French mayors, People from Lyon
Barre, Tarn	Communes in Tarn
Roger Hassenforder	1930 births, 2021 deaths, French cyclists, People from Grand Est, Tour de France cyclists
Ali Taher	1961 births, 2021 deaths, Deaths from the COVID-19 pandemic in Indonesia, Indonesian politicians
Alexi Laiho	1979 births, 2020 deaths, Finnish singers, Finnish musicians, Finnish writers, Songwriters, Heavy metal singers, Heavy metal guitarists
Lee Heung-kam	1932 births, 2021 deaths, Chinese movie actors, Chinese television actors, Chinese stage actors
Barbara Shelley	1932 births, 2021 deaths, Deaths from the COVID-19 pandemic in the United Kingdom, Actors from London, English movie actors, English television actors, English stage actors
Antoni Stankiewicz	1935 births, 2021 deaths, Polish Roman Catholics, Roman Catholic priests, Polish lawyers, Theologians
2020 Petrinja earthquake	2020 disasters, 2020 in Europe, 2020s disasters in Europe, December 2020 events, Earthquakes in the 2020s, History of Croatia
Petrinja	Towns in Europe, Croatia
Papurana aurata	Animals of Oceania, Frogs
Crystal the Monkey	1994 births, Living people, Individual animals
Pierfrancesco Favino	1969 births, Living people, Italian movie actors, Italian television actors, Italian stage actors, Italian voice actors, Actors from Rome
Mizuo Peck	1977 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from New York City
Kay Ullrich	1943 births, 2021 deaths, Scottish politicians
Papurana volkerjane	Animals of Oceania, Frogs
Lemanu Peleti Mauga	1949 births, 1950 births, Living people, Governors of American Samoa, US Democratic Party politicians, Lieutenant Governors of American Samoa
Aiguilles	Communes in Hautes-Alpes
Rugby, North Dakota	Cities in North Dakota, County seats in North Dakota
Abriès	Former communes in Hautes-Alpes
Ristolas	Former communes in Hautes-Alpes
Abriès-Ristolas	2019 establishments in France, Communes in Hautes-Alpes
Shadoe Stevens	1947 births, People from North Dakota, American television personalities, American radio personalities, Living people
Poligny, Hautes-Alpes	Communes in Hautes-Alpes
American Top 40	American music, Record charts, Radio programs, 1970 establishments in the United States
Marc du Pontavice	1963 births, Living people, Animators, People from Paris
Olivier Jean-Marie	1960 births, Living people, French movie directors
University of Lagos	Colleges and universities in Africa, Lagos
Naohiro Ikeda	1940 births, 2021 deaths, Japanese Olympic silver medalists, Japanese Olympic bronze medalists, Volleyball players, People from Saga Prefecture, Deaths from lymphoma
Canal+ Family	Television stations
Brad Raffensperger	1955 births, Living people, State legislators of the United States, Politicians from Georgia (U.S. state), US Republican Party politicians, Donald Trump, Businesspeople from Georgia (U.S. state)
Trump–Raffensperger phone call	January 2021 events, Donald Trump, 2020 United States presidential election, Political scandals in the United States
James C. Renick	1948 births, 2021 deaths, Deaths from motor neurone disease, American academics, Writers from Illinois, Writers from North Carolina, People from Rockford, Illinois, People from Greensboro, North Carolina
D-Back	Software
M. R. Schunker	1924 births, 2021 deaths, Indian military people
Turbo (movie)	2013 animated movies, 2013 comedy movies, American animated movies, American sports comedy movies, DreamWorks Animation movies, 20th Century Fox movies, Movies about animals
