Wall plug	Hardware (mechanical)
Bruce McGill	1950 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, Actors from San Antonio, Texas
Arianna Huffington	1950 births, Living people, Alumni of the University of Cambridge, American journalists, American political commentators, American chief executives, Bloggers, Businesspeople from California, Greek writers, People from Athens, HuffPost, HuffPost writers and columnists, Writers from California, American bloggers
Papahānaumokuākea Marine National Monument	World Heritage Sites in the United States, Geography of Hawaii, National Monuments of the United States
Catherine Palace	Palaces in Russia, Buildings and structures in Saint Petersburg, Former royal residences
Ed Lauter	1938 births, 2013 deaths, Deaths from mesothelioma, Actors from New York, American movie actors, American stage actors, American television actors, American voice actors, Cancer deaths in the United States, Comedians from New York
Hans Riegel	1923 births, 2013 deaths, German billionaires, Cancer deaths in Germany, Cardiovascular disease deaths in Germany, Deaths from brain cancer, Deaths from heart failure, Deaths from surgical complications, German businesspeople, People from Bonn
Sea	Seas, Bodies of water, Oceans
Würstelstand	Fast food, Austrian culture
Jan Steen	1620s births, 1679 deaths, Dutch painters, People from Leiden
Respiratory failure	Medical emergencies, Respiratory system, Organ failure
Battle of Vimy Ridge	1917 in Europe, 1910s in France, Battles involving Canada, Battles involving Germany, Battles involving the United Kingdom, Battles of World War I, Hauts-de-France
Far-Western Development Region, Nepal	Subdivisions of Nepal
Oarfish	Ray-finned fish
Naked Cowboy	Singers from Ohio, 2012 United States presidential candidates, American guitarists, New York City, 1970 births, Living people
Fable (video game)	2004 video games, MacOS games, Microsoft video games, Role-playing video games, Xbox games, Xbox 360 games
Adagio for Strings	Compositions
Paleography	Science, Writing
Zombie walk	Monsters, Festivals
Integron	Horizontal gene transfer, Bacteria
Philip Short	1945 births, Living people, English writers
Pointless (game show)	2009 British television series debuts, 2000s British television series, 2010s British television series, BBC Television programmes, British television game shows, Television quiz shows, English-language television programs
William Marshal, 1st Earl of Pembroke	1100 births, 1200 deaths, Knights, Crusaders
Samuel Barber	1910 births, 1981 deaths, Deaths from cancer, LGBT composers, LGBT people from Pennsylvania, Gay men, Pulitzer Prize winners
Lake Rara	Lakes of Asia, Geography of Nepal
Captain Phillips (movie)	2013 movies, American action movies, American thriller movies, Movies based on books
12 Years a Slave (movie)	Best Picture Oscar, Academy Award winning movies, Golden Globe Award winning movies, 2013 drama movies, 2010s biographical movies, American biographical movies, American drama movies, British biographical movies, British drama movies, Movies based on books, Movies composed by Hans Zimmer, Movies set in Louisiana, Movies set in New York, Movies set in the 19th century, American independent movies
World War Z (movie)	2013 action movies, 2013 thriller movies, American action movies, American thriller movies, British action movies, British thriller movies, Maltese movies, Movies based on books, Apocalyptic movies, Movies directed by Marc Forster
Effigy	Death customs, Sculpture, Monuments and memorials
Green Party of the United States	Green Party of the United States, 2001 establishments in the United States, Green political parties
Particle board	Wood
Guttermouth	American punk bands, 1988 establishments in California, Musical groups from Huntington Beach, California, Musical groups established in 1988
Morien	Arthurian legend, Characters in written fiction
Oriented strand board	Wood
Emilia Plater	1806 births, 1832 deaths, European military people, Lithuanian people, Polish people
Affinity	Marriage, Relationships
Consanguinity	Marriage, Relationships
OFK Bačka	Serbian football clubs, 1945 establishments in Europe
Hurricane Emily (1993)	Hurricanes, 1993
Socialist Party of America	1901 establishments in the United States, 1972 disestablishments in the United States, Political parties in the United States, Socialism
Socialist Party of Great Britain	Political parties in the United Kingdom, 1904 establishments in the United Kingdom, Socialism
World Socialist Party of the United States	Political parties in the United States, 1916 establishments in the United States, Socialism
University of the Sacred Heart, Tokyo	Colleges and universities in Tokyo
Darren Pang	1964 births, Canadian ice hockey goaltenders, Chicago Blackhawks players, Ice hockey people from Ontario, Living people, National Hockey League broadcasters, American Hockey League players, International Hockey League (1945–2001) players, Ontario Hockey League players
Lawrence Klein	1920 births, 2013 deaths, American economists, American Nobel Prize winners, Deaths from natural causes, Jewish American academics, Jewish American scientists, Jewish Nobel Prize winners, Scientists from Omaha, Nebraska
Robert Solow	1924 births, Living people, American economists, American educators, American military personnel of World War II, American Nobel Prize winners, Harvard University alumni, Nobel Prize in Economics winners, Scientists from Brooklyn
Douglass North	1920 births, 2015 deaths, Deaths from esophageal cancer, American economists, American educators, American Nobel Prize winners, Nobel Prize in Economics winners, Scientists from Massachusetts
Thomas Schelling	1921 births, 2016 deaths, Deaths from fractured hip, American economists, American educators, Nobel Prize in Economics winners, Scientists from Oakland, California, American Nobel Prize winners, Harvard University faculty
Viking invasion of Britain	9th century in England, Danish people, 860s, 870s, History of the Netherlands
Kenneth Arrow	1921 births, 2017 deaths, American economists, Deaths from natural causes, Jewish American academics, Jewish American scientists, Jewish Nobel Prize winners, Nobel Prize in Economics winners, Scientists from New York City
Robert D. Maxwell	1920 births, 2019 deaths, American military people, People from Boise, Idaho
Walter D. Ehlers	1921 births, 2014 deaths, Deaths from renal failure, American military people, People from Kansas
The Exorcist (movie)	1973 horror movies, 1970s supernatural movies, American horror movies, American supernatural movies, English-language movies, Movies based on books, Warner Bros. movies, Movies directed by William Friedkin, Religious horror movies
Bud Adams	1923 births, 2013 deaths, Deaths from natural causes, Businesspeople from Oklahoma, Sportspeople from Oklahoma
Georges Descrières	1930 births, 2013 deaths, Cancer deaths in France, French movie actors, French stage actors, French television actors, French voice actors, People from Bordeaux
2 Live Crew	1985 establishments in the United States, 1998 disestablishments in the United States, Controversies in the United States, Hip hop bands, Musical groups disestablished in 1998, Musical groups established in 1985, Musical groups from Miami, Florida, 1980s establishments in Florida, Obscenity controversies
Nina Davuluri	Miss America winners, 1989 births, Living people, Nonviolence advocates, People from Syracuse, New York
Jack Norris	1942 births, Boston Bruins players, Canadian ice hockey goaltenders, Chicago Blackhawks players, Ice hockey people from Saskatchewan, Living people, Los Angeles Kings players, American Hockey League players
The Apprentice (UK TV series)	2004 British television series debuts, 2000s British television series, 2010s British television series, British reality television series, The Apprentice, English-language television programs
Adam Munro	1982 births, Canadian ice hockey goaltenders, Chicago Blackhawks players, Ice hockey people from Ontario, Living people, American Hockey League players, ECHL players, Ontario Hockey League players
Nehemiah Grew	1641 births, 1712 deaths, Fellows of the Royal Society, Botanists, English scientists, Physiologists
Johannes Müller	1801 births, 1858 deaths, German academics, German biologists, People from Koblenz, Anatomists, Fellows of the Royal Society, Foreign Members of the Royal Society, German Roman Catholics, German doctors, People from Rhineland-Palatinate, People who committed suicide, Physiologists, Ichthyologists
Sobolev space	Calculus
Tata Institute of Fundamental Research	Research organizations in Asia, Mumbai, 1945 establishments in Asia, 1940s establishments in India
Mojo!	PlayStation 2 games, 2003 video games
1556 Shaanxi earthquake	1556, Earthquakes in China, Gansu, Shaanxi, 16th century in Asia, History of China, Articles on pre-1900 earthquakes
Naturopathy	Medicine, Pseudoscience
Oscar Yanes	1927 births, 2013 deaths, Deaths from pneumonia, Disease-related deaths in Venezuela, People from Caracas, Venezuelan writers
Divine right of kings	Monarchy, Political systems, Religious ethics
Alfie Moore	1904 births, 1984 deaths, Canadian ice hockey goaltenders, Chicago Blackhawks players, Ice hockey people from Ontario, New York Americans players, People from Toronto, American Hockey League players
Greg Millen	1957 births, Canadian ice hockey goaltenders, Chicago Blackhawks players, Detroit Red Wings players, Hartford Whalers players, Ice hockey people from Ontario, Living people, National Hockey League broadcasters, Pittsburgh Penguins players, Quebec Nordiques players, St. Louis Blues players, American Hockey League players, Ontario Hockey League players
